config,operator,source,NS,sampler,seed,pre_2opt,post_2opt,fes,iterations,two_opt_evals,two_opt_moves,wall_seconds,N,ST,max_fes,instance,rounded,git_sha
swap(current tree)|NS=1|-,swap,current,1,-,8,8533.0,7992.0,104000,1999,11257,10,2.01,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=1|-,swap,current,1,-,9,8693.0,7941.0,104000,1999,9850,8,2.049,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=1|-,swap,current,1,-,10,8841.0,7941.0,104000,1999,13453,12,2.11,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=1|-,swap,current,1,-,11,8729.0,7941.0,104000,1999,9978,8,2.081,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=1|-,swap,current,1,-,12,8672.0,7967.0,104000,1999,7103,11,2.137,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=1|-,swap,current,1,-,13,8762.0,7941.0,104000,1999,12409,11,2.082,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=1|-,swap,current,1,-,14,8629.0,7941.0,104000,1999,8856,8,2.126,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=1|-,swap,current,1,-,15,8614.0,7941.0,104000,1999,8806,7,2.091,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=1|-,swap,current,1,-,16,8746.0,7941.0,104000,1999,11162,9,2.054,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=1|-,swap,current,1,-,17,8723.0,7967.0,104000,1999,5037,10,2.16,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=1|-,swap,current,1,-,18,8690.0,7941.0,104000,1999,9978,9,2.076,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=1|-,swap,current,1,-,19,8629.0,7941.0,104000,1999,8856,8,1.992,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=1|-,swap,current,1,-,20,8884.0,7941.0,104000,1999,12194,11,2.07,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=1|-,swap,current,1,-,21,8693.0,7941.0,104000,1999,9850,8,2.094,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=1|-,swap,current,1,-,22,8760.0,7941.0,104000,1999,12319,10,2.152,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=1|-,swap,current,1,-,23,8747.0,7941.0,104000,1999,12359,10,1.989,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=1|-,swap,current,1,-,24,8857.0,7967.0,104000,1999,5140,12,1.956,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=1|-,swap,current,1,-,25,8751.0,7941.0,104000,1999,11534,10,1.958,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=1|-,swap,current,1,-,26,8675.0,7941.0,104000,1999,9928,8,1.918,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=1|-,swap,current,1,-,27,8874.0,7941.0,104000,1999,12516,11,1.953,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=1|-,swap,current,1,-,28,8746.0,7967.0,104000,1999,6141,11,1.948,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=1|-,swap,current,1,-,29,8619.0,7941.0,104000,1999,9178,8,1.952,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=6|-,swap,random,6,-,0,8518.0,7992.0,104260,334,11207,9,1.6,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=6|-,swap,random,6,-,1,8278.0,8096.0,104260,334,3333,3,1.648,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=6|-,swap,random,6,-,2,8523.0,7988.0,104260,334,10781,9,1.597,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=6|-,swap,random,6,-,3,8518.0,7992.0,104260,334,11207,9,1.583,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=6|-,swap,random,6,-,4,8268.0,8096.0,104260,334,3612,3,1.593,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=6|-,swap,random,6,-,5,8467.0,7967.0,104260,334,6829,6,1.684,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=6|-,swap,random,6,-,6,8507.0,7941.0,104260,334,8537,7,1.64,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=6|-,swap,random,6,-,7,8506.0,7941.0,104260,334,7697,6,1.589,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=6|-,swap,random,6,-,8,8519.0,7992.0,104260,334,12047,10,1.658,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=6|-,swap,random,6,-,9,8267.0,8096.0,104260,334,4353,3,1.55,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=6|-,swap,random,6,-,10,8518.0,7992.0,104260,334,11207,9,1.552,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=6|-,swap,random,6,-,11,8462.0,7967.0,104260,334,6149,5,1.644,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=6|-,swap,random,6,-,12,8518.0,7992.0,104260,334,11207,9,1.52,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=6|-,swap,random,6,-,13,8164.0,8024.0,104260,334,1345,1,1.579,52,0.5,104000,berlin52,True,06f6700
