instance,n,m,D,algorithm,seed,cmax,fes_used,max_fes,iters,wall_s,st_sense,operator_space,branch_granularity,strict_fe_cap,N,ST,L,U,dmin,dmax,git_sha,timestamp,fe_per_seed,n_seeds,branch_A_swap,branch_B_sym_shift,branch_C_eq3,branch_D_eq4,branch_E_eq_perdim,config,n_setting,sampler,pre_local_search_cmax,local_search_evals,local_search_moves,seeded_with_mwkr
ta11,20,15,300,DTSA,4,1635,300040,300000,1250,8.46,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:49:46,1.0,300000,,,,,,DTSA-core,N=40,C1,1635,0,0,True
ta11,20,15,300,DTSA,5,1602,300040,300000,1250,8.719,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:49:47,1.0,300000,,,,,,DTSA-core,N=40,C1,1602,0,0,True
ta11,20,15,300,DTSA,6,1570,300040,300000,1250,8.396,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:49:46,1.0,300000,,,,,,DTSA-core,N=40,C1,1570,0,0,True
ta11,20,15,300,DTSA,7,1610,300040,300000,1250,8.547,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:49:47,1.0,300000,,,,,,DTSA-core,N=40,C1,1610,0,0,True
ta11,20,15,300,DTSA,8,1594,300040,300000,1250,8.457,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:49:46,1.0,300000,,,,,,DTSA-core,N=40,C1,1594,0,0,True
ta11,20,15,300,DTSA,9,1579,300040,300000,1250,8.161,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:49:46,1.0,300000,,,,,,DTSA-core,N=40,C1,1579,0,0,True
ta11,20,15,300,DTSA,10,1625,300040,300000,1250,8.512,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:49:46,1.0,300000,,,,,,DTSA-core,N=40,C1,1625,0,0,True
ta11,20,15,300,DTSA,11,1641,300040,300000,1250,8.422,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:49:46,1.0,300000,,,,,,DTSA-core,N=40,C1,1641,0,0,True
ta11,20,15,300,DTSA,12,1605,300040,300000,1250,6.928,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:49:53,1.0,300000,,,,,,DTSA-core,N=40,C1,1605,0,0,True
ta11,20,15,300,DTSA,13,1549,300040,300000,1250,6.8,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:49:53,1.0,300000,,,,,,DTSA-core,N=40,C1,1549,0,0,True
ta11,20,15,300,DTSA,14,1583,300040,300000,1250,6.955,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:49:53,1.0,300000,,,,,,DTSA-core,N=40,C1,1583,0,0,True
ta11,20,15,300,DTSA,15,1530,300040,300000,1250,6.79,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:49:53,1.0,300000,,,,,,DTSA-core,N=40,C1,1530,0,0,True
ta11,20,15,300,DTSA,16,1580,300040,300000,1250,6.845,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:49:53,1.0,300000,,,,,,DTSA-core,N=40,C1,1580,0,0,True
ta11,20,15,300,DTSA,17,1682,300040,300000,1250,6.764,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:49:53,1.0,300000,,,,,,DTSA-core,N=40,C1,1682,0,0,True
ta11,20,15,300,DTSA,18,1616,300040,300000,1250,6.79,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:49:53,1.0,300000,,,,,,DTSA-core,N=40,C1,1616,0,0,True
ta11,20,15,300,DTSA,19,1573,300040,300000,1250,6.539,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:49:53,1.0,300000,,,,,,DTSA-core,N=40,C1,1573,0,0,True
ta21,20,20,400,DTSA,0,1935,400120,400000,1667,14.006,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:50:07,1.0,400080,,,,,,DTSA-core,N=40,C1,1935,0,0,True
ta21,20,20,400,DTSA,1,1920,400120,400000,1667,14.059,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:50:07,1.0,400080,,,,,,DTSA-core,N=40,C1,1920,0,0,True
ta21,20,20,400,DTSA,2,1920,400120,400000,1667,13.88,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:50:07,1.0,400080,,,,,,DTSA-core,N=40,C1,1920,0,0,True
ta21,20,20,400,DTSA,3,1898,400120,400000,1667,14.456,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:50:08,1.0,400080,,,,,,DTSA-core,N=40,C1,1898,0,0,True
ta21,20,20,400,DTSA,4,1967,400120,400000,1667,13.832,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:50:07,1.0,400080,,,,,,DTSA-core,N=40,C1,1967,0,0,True
ta21,20,20,400,DTSA,5,1986,400120,400000,1667,14.183,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:50:08,1.0,400080,,,,,,DTSA-core,N=40,C1,1986,0,0,True
ta21,20,20,400,DTSA,6,2011,400120,400000,1667,13.683,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:50:07,1.0,400080,,,,,,DTSA-core,N=40,C1,2011,0,0,True
ta21,20,20,400,DTSA,7,1919,400120,400000,1667,14.108,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:50:07,1.0,400080,,,,,,DTSA-core,N=40,C1,1919,0,0,True
ta21,20,20,400,DTSA,8,2040,400120,400000,1667,13.796,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:50:07,1.0,400080,,,,,,DTSA-core,N=40,C1,2040,0,0,True
ta21,20,20,400,DTSA,9,1980,400120,400000,1667,14.197,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:50:08,1.0,400080,,,,,,DTSA-core,N=40,C1,1980,0,0,True
ta21,20,20,400,DTSA,10,1959,400120,400000,1667,13.404,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:50:07,1.0,400080,,,,,,DTSA-core,N=40,C1,1959,0,0,True
ta21,20,20,400,DTSA,11,1942,400120,400000,1667,14.095,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:50:07,1.0,400080,,,,,,DTSA-core,N=40,C1,1942,0,0,True
ta21,20,20,400,DTSA,12,1957,400120,400000,1667,11.784,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:50:19,1.0,400080,,,,,,DTSA-core,N=40,C1,1957,0,0,True
ta21,20,20,400,DTSA,13,1996,400120,400000,1667,11.928,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:50:19,1.0,400080,,,,,,DTSA-core,N=40,C1,1996,0,0,True
ta21,20,20,400,DTSA,14,2045,400120,400000,1667,11.664,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:50:19,1.0,400080,,,,,,DTSA-core,N=40,C1,2045,0,0,True
ta21,20,20,400,DTSA,15,2004,400120,400000,1667,11.942,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:50:19,1.0,400080,,,,,,DTSA-core,N=40,C1,2004,0,0,True
ta21,20,20,400,DTSA,16,1926,400120,400000,1667,11.987,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:50:19,1.0,400080,,,,,,DTSA-core,N=40,C1,1926,0,0,True
