u12_nn,f6_best_update,seed,pre_2opt,post_2opt,two_opt_moves,fes,iterations,nn_seed_length
best_of_52,deferred,24,7720.0,7711.0,1,104260,334,8181.0
best_of_52,deferred,25,7542.0,7542.0,0,104260,334,8181.0
best_of_52,deferred,26,7711.0,7711.0,0,104260,334,8181.0
best_of_52,deferred,27,7596.0,7596.0,0,104260,334,8181.0
best_of_52,deferred,28,7596.0,7596.0,0,104260,334,8181.0
best_of_52,deferred,29,7605.0,7542.0,3,104260,334,8181.0
best_of_52,immediate,0,7798.0,7798.0,0,104260,334,8181.0
best_of_52,immediate,1,7817.0,7817.0,0,104260,334,8181.0
best_of_52,immediate,2,7644.0,7542.0,1,104260,334,8181.0
best_of_52,immediate,3,7678.0,7678.0,0,104260,334,8181.0
best_of_52,immediate,4,7711.0,7711.0,0,104260,334,8181.0
best_of_52,immediate,5,7657.0,7657.0,0,104260,334,8181.0
best_of_52,immediate,6,7711.0,7711.0,0,104260,334,8181.0
best_of_52,immediate,7,7798.0,7798.0,0,104260,334,8181.0
best_of_52,immediate,8,7804.0,7804.0,0,104260,334,8181.0
best_of_52,immediate,9,7615.0,7542.0,2,104260,334,8181.0
best_of_52,immediate,10,7721.0,7542.0,3,104260,334,8181.0
best_of_52,immediate,11,7635.0,7627.0,1,104260,334,8181.0
best_of_52,immediate,12,7805.0,7805.0,0,104260,334,8181.0
best_of_52,immediate,13,7596.0,7596.0,0,104260,334,8181.0
best_of_52,immediate,14,7596.0,7596.0,0,104260,334,8181.0
best_of_52,immediate,15,7822.0,7809.0,2,104260,334,8181.0
best_of_52,immediate,16,7662.0,7657.0,1,104260,334,8181.0
best_of_52,immediate,17,7735.0,7711.0,2,104260,334,8181.0
best_of_52,immediate,18,7851.0,7851.0,0,104260,334,8181.0
best_of_52,immediate,19,7547.0,7542.0,1,104260,334,8181.0
best_of_52,immediate,20,7751.0,7711.0,2,104260,334,8181.0
best_of_52,immediate,21,7542.0,7542.0,0,104260,334,8181.0
best_of_52,immediate,22,7860.0,7860.0,0,104260,334,8181.0
best_of_52,immediate,23,7851.0,7851.0,0,104260,334,8181.0
best_of_52,immediate,24,7720.0,7711.0,1,104260,334,8181.0
best_of_52,immediate,25,7542.0,7542.0,0,104260,334,8181.0
best_of_52,immediate,26,7711.0,7711.0,0,104260,334,8181.0
best_of_52,immediate,27,7596.0,7596.0,0,104260,334,8181.0
best_of_52,immediate,28,7596.0,7596.0,0,104260,334,8181.0
best_of_52,immediate,29,7605.0,7542.0,3,104260,334,8181.0
