instance,D,cmax,path_ops,blocks,block_sizes,blocks_ge2,n5_candidates,ls_evals,ls_moves,cmax_after
ta01,225,1382,23,8,"{1: 5, 2: 1, 7: 1, 9: 1}",3,5,5,0,1382
ta71,2000,6285,126,4,"{3: 1, 18: 1, 33: 1, 72: 1}",4,8,8,0,6285
