instance,n,m,D,algorithm,seed,cmax,fes_used,max_fes,iters,wall_s,st_sense,operator_space,branch_granularity,strict_fe_cap,N,ST,L,U,dmin,dmax,git_sha,timestamp,fe_per_seed,n_seeds,branch_A_swap,branch_B_sym_shift,branch_C_eq3,branch_D_eq4,branch_E_eq_perdim,config,n_setting,sampler,pre_local_search_cmax,local_search_evals,local_search_moves,seeded_with_mwkr
ta11,20,15,300,DTSA,3,1555,300040,300000,1250,6.302,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:37,1.0,300000,,,,,,DTSA-core,N=40,C3,1555,0,0,True
ta11,20,15,300,DTSA,4,1557,300040,300000,1250,6.018,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:37,1.0,300000,,,,,,DTSA-core,N=40,C3,1557,0,0,True
ta11,20,15,300,DTSA,5,1644,300040,300000,1250,6.224,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:37,1.0,300000,,,,,,DTSA-core,N=40,C3,1644,0,0,True
ta11,20,15,300,DTSA,6,1612,300040,300000,1250,5.983,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:37,1.0,300000,,,,,,DTSA-core,N=40,C3,1612,0,0,True
ta11,20,15,300,DTSA,7,1605,300040,300000,1250,6.162,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:37,1.0,300000,,,,,,DTSA-core,N=40,C3,1605,0,0,True
ta11,20,15,300,DTSA,8,1633,300040,300000,1250,6.537,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:44,1.0,300000,,,,,,DTSA-core,N=40,C3,1633,0,0,True
ta11,20,15,300,DTSA,9,1630,300040,300000,1250,6.539,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:44,1.0,300000,,,,,,DTSA-core,N=40,C3,1630,0,0,True
ta11,20,15,300,DTSA,10,1566,300040,300000,1250,6.38,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:44,1.0,300000,,,,,,DTSA-core,N=40,C3,1566,0,0,True
ta11,20,15,300,DTSA,11,1620,300040,300000,1250,6.458,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:44,1.0,300000,,,,,,DTSA-core,N=40,C3,1620,0,0,True
ta11,20,15,300,DTSA,12,1573,300040,300000,1250,6.503,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:44,1.0,300000,,,,,,DTSA-core,N=40,C3,1573,0,0,True
ta11,20,15,300,DTSA,13,1630,300040,300000,1250,6.374,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:44,1.0,300000,,,,,,DTSA-core,N=40,C3,1630,0,0,True
ta11,20,15,300,DTSA,14,1560,300040,300000,1250,6.683,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:44,1.0,300000,,,,,,DTSA-core,N=40,C3,1560,0,0,True
ta11,20,15,300,DTSA,15,1614,300040,300000,1250,6.749,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:44,1.0,300000,,,,,,DTSA-core,N=40,C3,1614,0,0,True
