instance,seed,jobs,cmax,fes_used,iters,N,D,wall_seconds,evals_per_second
ta61,2,1,3309,1000120,4167,40,1000,50.377,19852.8
ta62,0,1,3387,1000120,4167,40,1000,50.218,19915.4
ta62,1,1,3371,1000120,4167,40,1000,49.937,20027.7
ta62,2,1,3437,1000120,4167,40,1000,49.417,20238.5
ta63,0,1,3221,1000120,4167,40,1000,49.795,20084.8
ta63,1,1,3227,1000120,4167,40,1000,49.818,20075.3
ta63,2,1,3157,1000120,4167,40,1000,49.187,20332.9
ta64,0,1,3139,1000120,4167,40,1000,50.819,19679.8
ta64,1,1,3315,1000120,4167,40,1000,49.543,20186.7
ta64,2,1,3293,1000120,4167,40,1000,49.226,20316.8
ta65,0,1,3422,1000120,4167,40,1000,49.299,20286.6
ta65,1,1,3289,1000120,4167,40,1000,49.729,20111.3
ta65,2,1,3305,1000120,4167,40,1000,49.842,20065.8
ta71,0,1,6180,2000200,8334,40,2000,220.513,9070.7
ta71,1,1,6173,2000200,8334,40,2000,220.813,9058.3
ta71,2,1,6300,2000200,8334,40,2000,217.751,9185.7
ta72,0,1,5687,2000200,8334,40,2000,217.955,9177.1
ta72,1,1,5613,2000200,8334,40,2000,219.099,9129.2
ta72,2,1,5687,2000200,8334,40,2000,219.049,9131.3
ta73,0,1,6165,2000200,8334,40,2000,223.114,8964.9
ta73,1,1,6226,2000200,8334,40,2000,218.972,9134.5
ta73,2,1,6194,2000200,8334,40,2000,227.133,8806.3
ta74,0,1,5747,2000200,8334,40,2000,214.35,9331.5
ta74,1,1,5850,2000200,8334,40,2000,213.345,9375.4
ta74,2,1,5744,2000200,8334,40,2000,213.608,9363.9
ta75,0,1,6066,2000200,8334,40,2000,214.4,9329.3
ta75,1,1,6042,2000200,8334,40,2000,213.43,9371.7
ta75,2,1,6059,2000200,8334,40,2000,214.143,9340.5
