instance,seed,jobs,cmax,fes_used,iters,N,D,wall_seconds,evals_per_second
ta54,2,1,3201,750057,1913,40,750,17.981,41715.0
ta55,0,1,3240,750211,1915,40,750,17.69,42407.8
ta55,1,1,3180,750237,1913,40,750,17.926,41852.2
ta55,2,1,3188,750057,1913,40,750,16.481,45509.1
ta61,0,1,3396,1000212,2558,40,1000,32.941,30363.3
ta61,1,1,3529,1000065,2551,40,1000,35.482,28185.3
ta61,2,1,3576,1000334,2551,40,1000,32.532,30749.6
ta62,0,1,3588,1000212,2558,40,1000,32.558,30721.3
ta62,1,1,3500,1000065,2551,40,1000,35.379,28267.5
ta62,2,1,3627,1000334,2551,40,1000,35.223,28400.0
