instance,n,m,D,algorithm,seed,cmax,fes_used,max_fes,iters,wall_s,st_sense,operator_space,branch_granularity,strict_fe_cap,N,ST,L,U,dmin,dmax,git_sha,timestamp,fe_per_seed,n_seeds,branch_A_swap,branch_B_sym_shift,branch_C_eq3,branch_D_eq4,branch_E_eq_perdim
ta42,30,20,600,ATSA,0,2448,600162,600000,1529,23.014,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:58:24+00:00,1.4018,428105,42358,172017,160300,53430,0
ta42,30,20,600,ATSA,1,2670,600342,600000,1537,23.099,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:58:24+00:00,1.3991,429078,42985,171224,161069,53800,0
ta42,30,20,600,ATSA,2,2511,600213,600000,1534,22.898,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:58:24+00:00,1.3997,428788,43177,171385,160666,53560,0
ta42,30,20,600,ATSA,3,2568,600311,600000,1530,23.208,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:58:24+00:00,1.4013,428360,42881,171911,160330,53238,0
ta42,30,20,600,ATSA,4,2557,600315,600000,1529,22.549,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:58:24+00:00,1.3999,428812,42817,171463,160865,53667,0
ta42,30,20,600,ATSA,5,2498,600186,600000,1531,22.187,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:58:23+00:00,1.3986,429102,43015,171044,160780,54263,0
ta42,30,20,600,ATSA,6,2539,600313,600000,1528,22.755,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:58:24+00:00,1.4007,428567,43025,171706,160236,53600,0
ta42,30,20,600,ATSA,7,2590,600340,600000,1535,23.031,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:58:24+00:00,1.4,428794,42795,171506,160817,53676,0
ta42,30,20,600,ATSA,8,2456,600017,600000,1526,22.868,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:58:24+00:00,1.4,428562,42655,171415,160556,53936,0
ta42,30,20,600,ATSA,9,2571,600271,600000,1531,22.855,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:58:24+00:00,1.401,428436,42938,171795,160432,53271,0
ta42,30,20,600,ATSA,10,2606,600047,600000,1530,23.197,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:58:24+00:00,1.4006,428392,42359,171615,160700,53718,0
ta42,30,20,600,ATSA,11,2439,600136,600000,1527,23.017,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:58:24+00:00,1.4003,428551,42759,171545,160918,53329,0
ta42,30,20,600,ATSA,12,2420,600342,600000,1526,22.889,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:58:24+00:00,1.4015,428322,42756,171980,160351,53235,0
ta42,30,20,600,ATSA,13,2546,600273,600000,1531,22.591,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:58:24+00:00,1.3989,429070,43004,171163,161171,53732,0
ta42,30,20,600,ATSA,14,2581,600321,600000,1531,22.561,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:58:24+00:00,1.3999,428799,43362,171482,160553,53402,0
ta42,30,20,600,ATSA,15,2697,600121,600000,1532,22.78,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:58:24+00:00,1.3994,428824,42892,171257,160951,53724,0
ta42,30,20,600,ATSA,16,2643,600104,600000,1531,23.168,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:58:24+00:00,1.4003,428519,42987,171545,160408,53579,0
ta42,30,20,600,ATSA,17,2535,600070,600000,1529,22.044,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:58:23+00:00,1.4001,428565,42746,171465,160933,53421,0
ta42,30,20,600,ATSA,18,2439,600054,600000,1534,22.624,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:58:24+00:00,1.3991,428851,43043,171163,161139,53506,0
ta42,30,20,600,ATSA,19,2502,600031,600000,1532,23.173,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:58:24+00:00,1.3991,428829,42552,171162,161643,53472,0
