instance,n,m,D,algorithm,seed,cmax,fes_used,max_fes,iters,wall_s,st_sense,operator_space,branch_granularity,strict_fe_cap,N,ST,L,U,dmin,dmax,git_sha,timestamp,fe_per_seed,n_seeds,branch_A_swap,branch_B_sym_shift,branch_C_eq3,branch_D_eq4,branch_E_eq_perdim
ta66,50,20,1000,ATSA,0,3404,1000212,1000000,2558,74.754,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:15:34+00:00,1.3994,714736,71520,285436,268617,89163,0
ta66,50,20,1000,ATSA,1,3317,1000065,1000000,2551,74.524,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:15:34+00:00,1.3994,714594,71737,285431,267938,89488,0
ta66,50,20,1000,ATSA,2,3617,1000334,1000000,2551,71.109,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:15:31+00:00,1.3999,714552,71422,285742,268071,89317,0
ta66,50,20,1000,ATSA,3,3442,1000078,1000000,2551,72.634,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:15:32+00:00,1.4001,714250,71333,285788,267890,89239,0
ta66,50,20,1000,ATSA,4,3465,1000048,1000000,2546,74.606,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:15:34+00:00,1.4006,714003,71277,286005,267645,89076,0
ta66,50,20,1000,ATSA,5,3475,1000172,1000000,2550,70.432,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:15:30+00:00,1.3998,714475,71525,285657,267759,89534,0
ta66,50,20,1000,ATSA,6,3450,1000275,1000000,2557,74.445,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:15:34+00:00,1.4006,714168,71286,286067,267599,89216,0
ta66,50,20,1000,ATSA,7,3404,1000274,1000000,2548,74.238,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:15:34+00:00,1.4007,714099,71446,286135,266934,89584,0
ta66,50,20,1000,ATSA,8,3516,1000042,1000000,2555,70.964,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:15:31+00:00,1.3997,714455,71145,285547,268282,89481,0
ta66,50,20,1000,ATSA,9,3688,1000157,1000000,2551,75.331,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:15:35+00:00,1.4,714367,71412,285750,267820,89385,0
ta66,50,20,1000,ATSA,10,3474,1000171,1000000,2549,74.699,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:15:34+00:00,1.4005,714101,71515,286030,267388,89168,0
ta66,50,20,1000,ATSA,11,3487,1000117,1000000,2553,74.881,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:15:34+00:00,1.3998,714418,71048,285659,267847,89864,0
ta66,50,20,1000,ATSA,12,3568,1000363,1000000,2557,74.924,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:15:34+00:00,1.4001,714456,71066,285867,268219,89304,0
ta66,50,20,1000,ATSA,13,3390,1000190,1000000,2549,74.773,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:15:34+00:00,1.3995,714661,71337,285489,268229,89606,0
ta66,50,20,1000,ATSA,14,3691,1000302,1000000,2550,75.011,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:15:35+00:00,1.3998,714587,71271,285675,268548,89093,0
ta66,50,20,1000,ATSA,15,3528,1000371,1000000,2553,75.171,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:15:35+00:00,1.3993,714859,72042,285472,267927,89418,0
ta66,50,20,1000,ATSA,16,3456,1000126,1000000,2550,74.295,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:15:34+00:00,1.4012,713713,71262,286373,267045,89033,0
ta66,50,20,1000,ATSA,17,3503,1000067,1000000,2549,74.743,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:15:34+00:00,1.4001,714253,71191,285774,268585,88703,0
ta66,50,20,1000,ATSA,18,3384,1000236,1000000,2553,74.144,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:15:34+00:00,1.4,714403,71726,285793,267740,89144,0
ta66,50,20,1000,ATSA,19,3475,1000359,1000000,2554,74.313,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:15:34+00:00,1.4001,714477,71879,285842,267639,89117,0
