instance,n,m,D,algorithm,seed,cmax,fes_used,max_fes,iters,wall_s,st_sense,operator_space,branch_granularity,strict_fe_cap,N,ST,L,U,dmin,dmax,git_sha,timestamp,fe_per_seed,n_seeds,branch_A_swap,branch_B_sym_shift,branch_C_eq3,branch_D_eq4,branch_E_eq_perdim
ta48,30,20,600,ATSA,0,2473,600162,600000,1529,21.146,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:00:34+00:00,1.4018,428105,42358,172017,160300,53430,0
ta48,30,20,600,ATSA,1,2453,600342,600000,1537,21.384,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:00:34+00:00,1.3991,429078,42985,171224,161069,53800,0
ta48,30,20,600,ATSA,2,2460,600213,600000,1534,21.226,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:00:34+00:00,1.3997,428788,43177,171385,160666,53560,0
ta48,30,20,600,ATSA,3,2420,600311,600000,1530,21.551,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:00:34+00:00,1.4013,428360,42881,171911,160330,53238,0
ta48,30,20,600,ATSA,4,2493,600315,600000,1529,21.422,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:00:34+00:00,1.3999,428812,42817,171463,160865,53667,0
ta48,30,20,600,ATSA,5,2537,600186,600000,1531,21.442,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:00:34+00:00,1.3986,429102,43015,171044,160780,54263,0
ta48,30,20,600,ATSA,6,2498,600313,600000,1528,21.288,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:00:34+00:00,1.4007,428567,43025,171706,160236,53600,0
ta48,30,20,600,ATSA,7,2454,600340,600000,1535,21.395,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:00:34+00:00,1.4,428794,42795,171506,160817,53676,0
ta48,30,20,600,ATSA,8,2463,600017,600000,1526,21.249,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:00:34+00:00,1.4,428562,42655,171415,160556,53936,0
ta48,30,20,600,ATSA,9,2464,600271,600000,1531,21.324,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:00:34+00:00,1.401,428436,42938,171795,160432,53271,0
ta48,30,20,600,ATSA,10,2446,600047,600000,1530,21.449,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:00:34+00:00,1.4006,428392,42359,171615,160700,53718,0
ta48,30,20,600,ATSA,11,2466,600136,600000,1527,21.54,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:00:34+00:00,1.4003,428551,42759,171545,160918,53329,0
ta48,30,20,600,ATSA,12,2512,600342,600000,1526,21.488,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:00:34+00:00,1.4015,428322,42756,171980,160351,53235,0
ta48,30,20,600,ATSA,13,2498,600273,600000,1531,21.327,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:00:34+00:00,1.3989,429070,43004,171163,161171,53732,0
ta48,30,20,600,ATSA,14,2514,600321,600000,1531,21.634,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:00:35+00:00,1.3999,428799,43362,171482,160553,53402,0
ta48,30,20,600,ATSA,15,2461,600121,600000,1532,21.631,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:00:35+00:00,1.3994,428824,42892,171257,160951,53724,0
ta48,30,20,600,ATSA,16,2529,600104,600000,1531,21.492,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:00:34+00:00,1.4003,428519,42987,171545,160408,53579,0
ta48,30,20,600,ATSA,17,2641,600070,600000,1529,20.477,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:00:33+00:00,1.4001,428565,42746,171465,160933,53421,0
ta48,30,20,600,ATSA,18,2517,600054,600000,1534,20.914,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:00:34+00:00,1.3991,428851,43043,171163,161139,53506,0
ta48,30,20,600,ATSA,19,2505,600031,600000,1532,19.895,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:00:33+00:00,1.3991,428829,42552,171162,161643,53472,0
