instance,n,m,D,algorithm,seed,cmax,fes_used,max_fes,iters,wall_s,st_sense,operator_space,branch_granularity,strict_fe_cap,N,ST,L,U,dmin,dmax,git_sha,timestamp,fe_per_seed,n_seeds,branch_A_swap,branch_B_sym_shift,branch_C_eq3,branch_D_eq4,branch_E_eq_perdim
ta80,100,20,2000,ATSA,0,6071,2000129,2000000,5105,352.547,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T13:20:38+00:00,1.3995,1429141,143236,570948,536508,178449,0
ta80,100,20,2000,ATSA,1,6053,2000122,2000000,5103,351.863,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T13:20:38+00:00,1.3998,1428826,142621,571256,536321,178628,0
ta80,100,20,2000,ATSA,2,6091,2000114,2000000,5103,338.03,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T13:20:24+00:00,1.3993,1429304,142903,570770,536909,178722,0
ta80,100,20,2000,ATSA,3,5991,2000049,2000000,5106,350.55,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T13:20:36+00:00,1.3995,1429063,143049,570946,536046,179022,0
ta80,100,20,2000,ATSA,4,6033,2000271,2000000,5107,351.231,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T13:20:37+00:00,1.3994,1429364,143140,570867,536451,178906,0
ta80,100,20,2000,ATSA,5,6175,2000339,2000000,5104,351.693,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T13:20:37+00:00,1.3995,1429346,143041,570953,536645,178707,0
ta80,100,20,2000,ATSA,6,6079,2000343,2000000,5104,336.67,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T13:20:22+00:00,1.4,1428829,142913,571474,535394,179048,0
ta80,100,20,2000,ATSA,7,6051,2000242,2000000,5106,337.399,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T13:20:23+00:00,1.4,1428756,142706,571446,536289,178315,0
ta80,100,20,2000,ATSA,8,5983,2000398,2000000,5103,351.84,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T13:20:38+00:00,1.3998,1429021,142997,571337,535769,178918,0
ta80,100,20,2000,ATSA,9,6034,2000013,2000000,5101,351.148,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T13:20:37+00:00,1.3997,1428856,142704,571117,536517,178518,0
ta80,100,20,2000,ATSA,10,6010,2000397,2000000,5105,338.175,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T13:20:24+00:00,1.4003,1428479,142541,571878,535750,178310,0
ta80,100,20,2000,ATSA,11,6062,2000269,2000000,5103,350.665,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T13:20:36+00:00,1.4,1428706,141968,571523,536246,178969,0
ta80,100,20,2000,ATSA,12,5992,2000105,2000000,5102,351.642,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T13:20:37+00:00,1.4002,1428374,142574,571691,535044,179065,0
ta80,100,20,2000,ATSA,13,6002,2000366,2000000,5099,340.025,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T13:20:26+00:00,1.3998,1429056,142923,571270,535960,178903,0
ta80,100,20,2000,ATSA,14,5963,2000288,2000000,5101,337.538,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T13:20:23+00:00,1.3995,1429222,143349,571026,535984,178863,0
ta80,100,20,2000,ATSA,15,6003,2000248,2000000,5107,338.815,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T13:20:25+00:00,1.3997,1429066,143042,571142,536106,178776,0
ta80,100,20,2000,ATSA,16,6089,2000173,2000000,5101,352.009,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T13:20:38+00:00,1.3998,1428898,142651,571235,536145,178867,0
ta80,100,20,2000,ATSA,17,6030,2000186,2000000,5099,336.867,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T13:20:23+00:00,1.4003,1428397,142612,571749,536097,177939,0
ta80,100,20,2000,ATSA,18,5983,2000077,2000000,5100,351.233,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T13:20:37+00:00,1.3999,1428698,142871,571339,535920,178568,0
ta80,100,20,2000,ATSA,19,5849,2000139,2000000,5101,351.009,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T13:20:37+00:00,1.4008,1427869,142557,572230,535040,178042,0
