instance,n,m,D,algorithm,seed,cmax,fes_used,max_fes,iters,wall_s,st_sense,operator_space,branch_granularity,strict_fe_cap,N,ST,L,U,dmin,dmax,git_sha,timestamp,fe_per_seed,n_seeds,branch_A_swap,branch_B_sym_shift,branch_C_eq3,branch_D_eq4,branch_E_eq_perdim,config,n_setting,sampler,pre_local_search_cmax,local_search_evals,local_search_moves,seeded_with_mwkr
ta01,15,15,225,DTSA,11,1431,225160,225000,938,11.716,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T10:07:48,1.0,225120,,,,,,DTSA+LS,N=40,C3,1431,4,0,True
ta01,15,15,225,DTSA,12,1374,225160,225000,938,11.597,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T10:08:00,1.0,225120,,,,,,DTSA-core,N=40,C3,1374,0,0,True
ta01,15,15,225,DTSA,12,1374,225160,225000,938,11.597,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T10:08:00,1.0,225120,,,,,,DTSA+LS,N=40,C3,1374,8,0,True
ta01,15,15,225,DTSA,13,1420,225160,225000,938,11.547,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T10:08:00,1.0,225120,,,,,,DTSA-core,N=40,C3,1420,0,0,True
ta01,15,15,225,DTSA,13,1420,225160,225000,938,11.547,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T10:08:00,1.0,225120,,,,,,DTSA+LS,N=40,C3,1420,6,0,True
ta01,15,15,225,DTSA,14,1431,225160,225000,938,11.681,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T10:08:00,1.0,225120,,,,,,DTSA-core,N=40,C3,1431,0,0,True
ta01,15,15,225,DTSA,14,1431,225160,225000,938,11.681,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T10:08:00,1.0,225120,,,,,,DTSA+LS,N=40,C3,1431,5,0,True
ta01,15,15,225,DTSA,15,1423,225160,225000,938,11.64,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T10:08:00,1.0,225120,,,,,,DTSA-core,N=40,C3,1423,0,0,True
ta01,15,15,225,DTSA,15,1423,225160,225000,938,11.64,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T10:08:00,1.0,225120,,,,,,DTSA+LS,N=40,C3,1423,5,0,True
ta01,15,15,225,DTSA,16,1416,225160,225000,938,11.655,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T10:08:00,1.0,225120,,,,,,DTSA-core,N=40,C3,1416,0,0,True
