instance,n,m,D,algorithm,seed,cmax,fes_used,max_fes,iters,wall_s,st_sense,operator_space,branch_granularity,strict_fe_cap,N,ST,L,U,dmin,dmax,git_sha,timestamp,fe_per_seed,n_seeds,branch_A_swap,branch_B_sym_shift,branch_C_eq3,branch_D_eq4,branch_E_eq_perdim,config,n_setting,sampler,pre_local_search_cmax,local_search_evals,local_search_moves,seeded_with_mwkr
ta01,15,15,225,DTSA,13,1424,225160,225000,938,4.069,,,,,40,0.5,6,6,-5.0,5.0,dcdfb68,2026-07-23T20:27:29,1.0,225120,,,,,,DTSA+LS,N=40,C1,1424,5,0,True
ta01,15,15,225,DTSA,14,1424,225160,225000,938,4.18,,,,,40,0.5,6,6,-5.0,5.0,dcdfb68,2026-07-23T20:27:29,1.0,225120,,,,,,DTSA-core,N=40,C1,1424,0,0,True
ta01,15,15,225,DTSA,14,1424,225160,225000,938,4.18,,,,,40,0.5,6,6,-5.0,5.0,dcdfb68,2026-07-23T20:27:29,1.0,225120,,,,,,DTSA+LS,N=40,C1,1424,3,0,True
ta01,15,15,225,DTSA,15,1402,225160,225000,938,4.224,,,,,40,0.5,6,6,-5.0,5.0,dcdfb68,2026-07-23T20:27:29,1.0,225120,,,,,,DTSA-core,N=40,C1,1402,0,0,True
ta01,15,15,225,DTSA,15,1402,225160,225000,938,4.224,,,,,40,0.5,6,6,-5.0,5.0,dcdfb68,2026-07-23T20:27:29,1.0,225120,,,,,,DTSA+LS,N=40,C1,1402,8,0,True
ta01,15,15,225,DTSA,16,1393,225160,225000,938,3.883,,,,,40,0.5,6,6,-5.0,5.0,dcdfb68,2026-07-23T20:27:33,1.0,225120,,,,,,DTSA-core,N=40,C1,1393,0,0,True
ta01,15,15,225,DTSA,16,1393,225160,225000,938,3.883,,,,,40,0.5,6,6,-5.0,5.0,dcdfb68,2026-07-23T20:27:33,1.0,225120,,,,,,DTSA+LS,N=40,C1,1393,8,0,True
ta01,15,15,225,DTSA,17,1423,225160,225000,938,3.924,,,,,40,0.5,6,6,-5.0,5.0,dcdfb68,2026-07-23T20:27:33,1.0,225120,,,,,,DTSA-core,N=40,C1,1423,0,0,True
ta01,15,15,225,DTSA,17,1423,225160,225000,938,3.924,,,,,40,0.5,6,6,-5.0,5.0,dcdfb68,2026-07-23T20:27:33,1.0,225120,,,,,,DTSA+LS,N=40,C1,1423,9,0,True
ta01,15,15,225,DTSA,18,1397,225160,225000,938,3.857,,,,,40,0.5,6,6,-5.0,5.0,dcdfb68,2026-07-23T20:27:33,1.0,225120,,,,,,DTSA-core,N=40,C1,1397,0,0,True
ta01,15,15,225,DTSA,18,1397,225160,225000,938,3.857,,,,,40,0.5,6,6,-5.0,5.0,dcdfb68,2026-07-23T20:27:33,1.0,225120,,,,,,DTSA+LS,N=40,C1,1397,6,0,True
ta01,15,15,225,DTSA,19,1423,225160,225000,938,3.83,,,,,40,0.5,6,6,-5.0,5.0,dcdfb68,2026-07-23T20:27:33,1.0,225120,,,,,,DTSA-core,N=40,C1,1423,0,0,True
